,Unnamed: 0,Name,Location,Locality,City,Cuisine,Rating,Votes,Cost,State
3198,3198,Cake Waves,"Pallavaram, South West Chennai", South West Chennai,Chennai,"Desserts,  Bakery and Confectionary,  Fast Food",1.0,1,400,Tamil Nadu
3199,3199,Dindigul Thalappakatti,"Ambattur, North Chennai", North Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",3.7,5,700,Tamil Nadu
3200,3200,Dindigul Thalappakatti,"Medavakkam, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.3,28,700,Tamil Nadu
3201,3201,Le Wrap Factorie,"Medavakkam, South West Chennai", South West Chennai,Chennai,Fast Food,4.5,2,400,Tamil Nadu
3202,3202,Express By AB's,"Chromepet, South West Chennai", South West Chennai,Chennai,"North Indian,  Barbecue",5.0,1,700,Tamil Nadu
3203,3203,Orange Wok,"Chromepet, South West Chennai", South West Chennai,Chennai,"Asian,  Chinese,  Thai,  Seafood,  Malaysian",4.2,34,1000,Tamil Nadu
3204,3204,Spicezen - Absolute Veg Restaurant,"Chromepet, South West Chennai", South West Chennai,Chennai,"North Indian,  Street Food,  Fast Food",4.4,4,600,Tamil Nadu
3205,3205,AGS Restaurant,"Medavakkam, South West Chennai", South West Chennai,Chennai,"North Indian,  South Indian,  Chinese,  Seafood",3.6,12,700,Tamil Nadu
3206,3206,Delhi Highway,"Citadines,Sholinganallur, South West Chennai", South West Chennai,Chennai,North Indian,4.2,151,1200,Tamil Nadu
3207,3207,The Square,"Novotel Chennai OMR,Sholinganallur, South West Chennai", South West Chennai,Chennai,"Continental,  North Indian,  Asian",4.2,52,2500,Tamil Nadu
3208,3208,Bindaas Rasoi,"Sholinganallur, South West Chennai", South West Chennai,Chennai,"North Indian,  Seafood",4.3,571,1200,Tamil Nadu
3209,3209,NICO Asian Bar & Cafe,"Novotel Chennai OMR,Sholinganallur, South West Chennai", South West Chennai,Chennai,Continental,3.8,7,1500,Tamil Nadu
3210,3210,Hola,"Citadines,Sholinganallur, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",4.1,161,1200,Tamil Nadu
3211,3211,Delhi Dhaba,"Akkarai, South Chennai", South Chennai,Chennai,"North Indian,  Chinese,  Seafood",3.3,9,800,Tamil Nadu
3212,3212,Guntur Gongura,"Sholinganallur, South West Chennai", South West Chennai,Chennai,"Andhra,  Biryani,  North Indian,  Chinese",3.6,11,500,Tamil Nadu
3213,3213,Dot Yum,"Aloft Chennai,Sholinganallur, South West Chennai", South West Chennai,Chennai,"Continental,  North Indian,  Italian",3.9,131,1600,Tamil Nadu
3214,3214,W xyz,"Aloft Chennai,Sholinganallur, South West Chennai", South West Chennai,Chennai,Finger Food,3.9,17,1600,Tamil Nadu
3215,3215,Dindigul Thalappakatti,"Selaiyur, South Chennai", South Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.1,25,700,Tamil Nadu
3216,3216,Prive Restaurant,"East Coast Road, South Chennai", South Chennai,Chennai,"Multi-Cuisine,  North Indian,  European,  Oriental ,  Street Food,  Fast Food",4.4,97,1200,Tamil Nadu
3217,3217,Dindigul Thalappakatti,"Tambaram West, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",3.7,24,700,Tamil Nadu
3218,3218,Dindigul Thalappakatti,"Poonamallee, West Chennai", West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.0,12,700,Tamil Nadu
3219,3219,Sauce O Cheese,"Selaiyur, South Chennai", South Chennai,Chennai,Fast Food,3.4,7,400,Tamil Nadu
3220,3220,The Eatery,"Four Points by Sheraton Chennai OMR,Sholinganallur, South West Chennai", South West Chennai,Chennai,"North Indian,  Continental,  Oriental ",3.7,29,1600,Tamil Nadu
3221,3221,Madras Coffee House,"Tambaram East, South West Chennai", South West Chennai,Chennai,"Street Food,  Coffee,  Desserts",4.6,2,200,Tamil Nadu
3222,3222,Onesta,"Tech Pump Towers,Semmencherry, South West Chennai", South West Chennai,Chennai,"Italian,  Pizza,  Desserts",4.2,76,700,Tamil Nadu
3223,3223,Mascarpone Cafe,"Uthandi, South Chennai", South Chennai,Chennai,"Italian,  Continental,  Thai,  Seafood",4.2,155,1200,Tamil Nadu
3224,3224,Gossip Fusion Bistro & Dessert Bar,"Uthandi, South Chennai", South Chennai,Chennai,"Italian,  Continental,  Seafood,  North Indian,  South Indian",4.5,129,1500,Tamil Nadu
3225,3225,Tosai,"East Coast Road, South Chennai", South Chennai,Chennai,"North Indian,  South Indian,  Chinese",4.0,15,500,Tamil Nadu
3226,3226,Rasavid,"Semmencherry, South West Chennai", South West Chennai,Chennai,"North Indian,  Biryani",3.6,148,900,Tamil Nadu
3227,3227,Regos Cafe,"Tambaram West, South West Chennai", South West Chennai,Chennai,Fast Food,4.8,5,300,Tamil Nadu
3228,3228,Sulthan's Biryani,"OMR Food Street,Navalur, South West Chennai", South West Chennai,Chennai,"Chinese,  Biryani",4.0,13,700,Tamil Nadu
3229,3229,Orange Wok,"The Marina Mall,Egattur, South West Chennai", South West Chennai,Chennai,"Asian,  Chinese,  Thai,  Seafood,  Malaysian",4.2,75,1000,Tamil Nadu
3230,3230,Taco Bell,"The Marina Mall,Egattur, South West Chennai", South West Chennai,Chennai,"Mexican,  Tex Mex",3.6,58,500,Tamil Nadu
3231,3231,The Square,"Novotel Chennai Sipcot Hotel,Egattur, South West Chennai", South West Chennai,Chennai,"Continental,  North Indian,  Asian",4.1,23,2500,Tamil Nadu
3232,3232,Baskin Robbins,"The Marina Mall,Egattur, South West Chennai", South West Chennai,Chennai,"Desserts,  Ice Cream",1.0,1,300,Tamil Nadu
3233,3233,Dindigul Thalappakatti,"Vandalur, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",4.1,35,700,Tamil Nadu
3234,3234,Mr.Burger,"GST Road, South West Chennai", South West Chennai,Chennai,"Fast Food,  Burger",4.0,1,400,Tamil Nadu
3235,3235,ECR Dhaba,"Muttukadu, South Chennai", South Chennai,Chennai,"North Indian,  Chinese,  Seafood",3.0,1,800,Tamil Nadu
3236,3236,Dindigul Thalappakatti,"Padur, South West Chennai", South West Chennai,Chennai,"Multi-Cuisine,  North Indian,  Chinese,  South Indian,  Biryani",3.0,1,700,Tamil Nadu
3237,3237,Roll Over,"Potheri, South West Chennai", South West Chennai,Chennai,"Desserts,  Fast Food",4.5,8,500,Tamil Nadu
3238,3238,The Reef,"Mahabalipuram, South Chennai", South Chennai,Chennai,"North Indian,  Continental,  South Indian",4.3,81,2500,Tamil Nadu
3239,3239,The Melting Pot,"Intercontinental Chennai Mahabalipuram Resort,Mahabalipuram, South Chennai", South Chennai,Chennai,"North Indian,  Continental,  South Indian",4.3,256,1500,Tamil Nadu
