,Name,Location,Locality,City,Cuisine,Rating,Votes,Cost
3722,Pot Belly,"Yapral, Secunderabad", Secunderabad,Hyderabad,"Chinese,  Fast Food",4.6,5,600
3723,Myboli Maharashtrian Kitchen,"Paradigm SSS Square,Kondapur, West Hyderabad", West Hyderabad,Hyderabad,Maharashtrian,3.8,15,1000
3724,Punjabi Affair,"Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Chinese",4.4,62,800
3725,Taco Bell,"Sarath City Capital Mall,Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"Mexican,  Tex Mex,  Tex Mex",4.1,53,500
3726,Kinara Grand,"A S Rao Nagar, Secunderabad", Secunderabad,Hyderabad,"North Indian,  Chinese",4.1,31,1000
3727,Cabrito Al Mataam,"Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Multi-Cuisine,  North Indian,  Chinese,  Arabian",4.2,117,500
3728,Temptations,"Kompally, Secunderabad", Secunderabad,Hyderabad,"Desserts,  Ice Cream,  Shakes,  Fast Food",5.0,2,600
3729,Biggies Burger 'n' More,"SLN Terminus,Gachibowli, West Hyderabad", West Hyderabad,Hyderabad,"Fast Food,  Burger",4.2,87,600
3730,La Cantina,"Novotel Hyderabad Convention Centre,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,Asian,4.0,58,2500
3731,Le Café,"Novotel Hyderabad Convention Centre,Hitech City, West Hyderabad", West Hyderabad,Hyderabad,"Desserts,  Fast Food,  Coffee",3.9,6,1000
3732,Pista House,"Kondapur, West Hyderabad", West Hyderabad,Hyderabad,"North Indian,  Hyderabadi",4.0,60,900
3733,Tabla,"Uppal, East Hyderabad", East Hyderabad,Hyderabad,"North Indian,  Chinese,  Seafood,  Andhra,  Biryani",4.1,208,1700
