,Name,Rating,Location,Cuisine,Votes,Cost
180,Bhukkad's Cafe,4.7/53 votes,"Kamla Nagar, North Delhi",Fast Food,3 votes,₹ 400 for two (approx.)
181,JD Theatre Cafe,4.7/55 votes,"Ashok Vihar Phase - 1, North Delhi",Fast Food,5 votes,₹ 500 for two (approx.)
182,Moti Mahal Delux,4.4/5470 votes,"South Extension - 2, South Delhi","North Indian,  Chinese,  Mughlai",470 votes,₹ 1500 for two (approx.)
183,The Laalten,4.2/5383 votes,"Kamla Nagar, North Delhi","North Indian,  Continental,  Oriental ,  Fast Food",383 votes,₹ 1600 for two (approx.)
184,Govardhan Vegetarian,3.7/575 votes,"Kamla Nagar, North Delhi","North Indian,  Chinese,  South Indian",75 votes,₹ 1000 for two (approx.)
185,Sambookas,4.3/5553 votes,"DDA Market Complex,Hudson Lane, North Delhi","Italian,  Continental,  Fast Food",553 votes,₹ 1200 for two (approx.)
186,Clay 1 Grill,4.2/5624 votes,"Kirti Nagar, West Delhi",North Indian,624 votes,₹ 2000 for two (approx.)
187,Cafe Chill'm,4.1/5234 votes,"Kamla Nagar, North Delhi","North Indian,  Fast Food,  Italian,  American",234 votes,₹ 1800 for two (approx.)
188,Imly,4.2/51363 votes,"Ashok Vihar Phase - 2, North Delhi","Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",1363 votes,₹ 800 for two (approx.)
189,The Hogwarts Kafe,4.2/5221 votes,"Ashok Vihar Phase - 2, North Delhi","Fast Food,  North Indian,  Italian,  Continental,  Mexican,  Lebanese,  Oriental ",221 votes,₹ 1200 for two (approx.)
190,Chimney Sizzlers,4.5/53 votes,"Yashwant Place,Chanakyapuri, South Delhi","Chinese,  Fast Food",3 votes,₹ 800 for two (approx.)
191,Sixth Empirica,4.1/51008 votes,"Punjabi Bagh, West Delhi","North Indian,  Italian,  Chinese,  Continental",1008 votes,₹ 1200 for two (approx.)
192,Limitless,4.2/5681 votes,"Ansal Plaza Mall,Khel Gaon, South Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",681 votes,₹ 2000 for two (approx.)
193,TESORO MIO KITCHEN 'N' KAFFE,4.1/5570 votes,"Preet Vihar, East Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican",570 votes,₹ 1600 for two (approx.)
194,Tikka Junction,4.0/51 votes,"Kamla Nagar, North Delhi","North Indian,  Chinese",1 votes,₹ 1500 for two (approx.)
195,Blackmail Lounge,4.4/554 votes,"Kamla Nagar, North Delhi","North Indian,  Italian,  Chinese",54 votes,₹ 1400 for two (approx.)
196,The Flying Saucer,4.1/51832 votes,"Epicuria Food Mall,Nehru Place, South Delhi","Finger Food,  North Indian,  Italian,  Continental,  Mediterranean,  Oriental ",1832 votes,₹ 2800 for two (approx.)
197,The Crypto Door,4.7/551 votes,"Vijay Nagar, North Delhi","Continental,  American,  Italian,  Lebanese,  Fusion",51 votes,₹ 800 for two (approx.)
198,3 Friends Pizza,5.0/51 votes,"Pandav Nagar, East Delhi",Pizza,1 votes,₹ 400 for two (approx.)
199,Moets Curry Leaf,4.1/5239 votes,"Defence Colony, South Delhi","North Indian,  Mughlai,  Kashmiri",239 votes,₹ 2000 for two (approx.)
200,Le Cirque,4.4/525 votes,"The Leela Palace,Chanakyapuri, South Delhi","Italian,  Continental,  French",25 votes,₹ 5000 for two (approx.)
201,Crazy Kitchen Rooftop & Lounge,4.3/5268 votes,"Satya Niketan, South Delhi","Fast Food,  North Indian,  Italian,  Chinese",268 votes,₹ 700 for two (approx.)
202,Wow! Momo,3.5/512 votes,"Laxmi Nagar, East Delhi","Fast Food,  Tibetan",12 votes,₹ 400 for two (approx.)
203,The Qube,4.5/584 votes,"The Leela Palace,Chanakyapuri, South Delhi","North Indian,  Italian,  Continental,  Asian",84 votes,₹ 5000 for two (approx.)
204,Wow! Momo,3.3/538 votes,"Kamla Nagar, North Delhi","Fast Food,  Tibetan",38 votes,₹ 400 for two (approx.)
205,Cafe Delhi Heights,4.5/5809 votes,"Rajouri Garden, West Delhi","Continental,  Modern Indian,  Italian,  American",809 votes,₹ 2000 for two (approx.)
206,The Firangi Island,4.2/5569 votes,"Kirti Nagar, West Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",569 votes,₹ 1600 for two (approx.)
207,Barbeque Nation,4.4/5477 votes,"Unity One Mall,Janakpuri, West Delhi","North Indian,  Barbecue,  Mughlai",477 votes,₹ 1700 for two (approx.)
208,Maestro A Restro Cafe,4.3/5387 votes,"Deep Cinema Complex,Ashok Vihar Phase - 1, North Delhi","North Indian,  Chinese,  Fast Food",387 votes,₹ 1300 for two (approx.)
209,Antidot Waterbar and Cafe,4.2/51071 votes,"Safdarjung Enclave Market,Safdarjung, South Delhi","Multi-Cuisine,  Italian,  Continental,  Asian,  Modern Indian",1071 votes,₹ 3000 for two (approx.)
210,Cafe Another Day,4.3/5257 votes,"Janak Place District Centre,Janakpuri, West Delhi","North Indian,  Italian,  Chinese",257 votes,₹ 1000 for two (approx.)
211,Wood Box Cafe,4.4/5403 votes,"Satya Niketan, South Delhi","Fast Food,  Shakes",403 votes,₹ 800 for two (approx.)
212,Chai Mantra,3.7/58 votes,"Vikas Marg, East Delhi","Fast Food,  Tea,  Chinese",8 votes,₹ 300 for two (approx.)
213,Imperfecto Ruin Pub,4.0/5561 votes,"Ansal Plaza Mall,Khel Gaon, South Delhi","Multi-Cuisine,  Mediterranean",561 votes,₹ 2400 for two (approx.)
214,La Piazza,4.5/567 votes,"Hyatt Regency Delhi,Bhikaji Cama Place, South Delhi","Italian,  Pizza",67 votes,₹ 4500 for two (approx.)
215,New Kadimi,4.1/5161 votes,"Janakpuri, West Delhi","North Indian,  Chinese,  South Indian",161 votes,₹ 800 for two (approx.)
216,Megu,4.3/527 votes,"The Leela Palace,Chanakyapuri, South Delhi","Japanese,  Seafood",27 votes,₹ 5000 for two (approx.)
217,Cafe Diaries,4.6/5120 votes,"Satya Niketan, South Delhi","Multi-Cuisine,  Italian,  Chinese,  Continental,  Fast Food",120 votes,₹ 800 for two (approx.)
218,Nukkad Cafe & Bar,4.2/5390 votes,"SDA, South Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Asian",390 votes,₹ 1500 for two (approx.)
219,Daawat Restaurant,4.0/522 votes,"Krishna Nagar, East Delhi","North Indian,  Chinese,  South Indian",22 votes,₹ 600 for two (approx.)
220,Padmanabham,4.4/5100 votes,"Greater Kailash - 1, South Delhi",South Indian,100 votes,₹ 700 for two (approx.)
221,RDX Reloaded Restaurant & Bar,3.9/5116 votes,"Safdarjung Enclave Market,Safdarjung, South Delhi","North Indian,  Chinese,  Mughlai",116 votes,₹ 1500 for two (approx.)
222,Ghoomar Traditional Thali Restaurant,4.5/5120 votes,"D Mall,Netaji Subhash Place, North Delhi",Rajasthani,120 votes,₹ 1000 for two (approx.)
223,Slique,4.0/558 votes,"Ansal Plaza Mall,Khel Gaon, South Delhi","North Indian,  Asian",58 votes,₹ 2500 for two (approx.)
224,Cafe Delhi Heights,4.5/51251 votes,"Pacific Mall,Tagore Garden, West Delhi","Modern Indian,  Italian,  Continental,  American",1251 votes,₹ 2000 for two (approx.)
225,Shalom - Laidback Cafe,4.5/5215 votes,"Sangam Courtyard,RK Puram, South Delhi","Multi-Cuisine,  North Indian,  Italian,  Mediterranean,  Asian",215 votes,₹ 2000 for two (approx.)
226,The Chatter House,4.2/5815 votes,"Epicuria Food Mall,Nehru Place, South Delhi","North Indian,  Italian,  Continental",815 votes,₹ 2000 for two (approx.)
227,Underpass,3.4/556 votes,"Defence Colony, South Delhi","North Indian,  Chinese,  Fast Food",56 votes,₹ 1500 for two (approx.)
228,Bottle House,4.1/521 votes,"Satya Niketan, South Delhi","Multi-Cuisine,  North Indian,  Chinese,  Continental",21 votes,₹ 1100 for two (approx.)
229,Three Tuns Cafe & Bar,3.8/5431 votes,"Unity One Mall,Janakpuri, West Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",431 votes,₹ 2200 for two (approx.)
230,Mystique Melange,4.2/5916 votes,"Ashok Vihar Phase - 2, North Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  Thai,  Lebanese,  Oriental ",916 votes,₹ 1800 for two (approx.)
231,The Turkey Project,4.8/579 votes,"DDA Complex,Defence Colony, South Delhi","Italian,  American",79 votes,₹ 1500 for two (approx.)
232,Radio Station,4.3/5336 votes,"Kailash Colony, South Delhi","Finger Food,  North Indian,  Italian,  Chinese,  Continental",336 votes,₹ 1600 for two (approx.)
233,Cafe Emoji's,5.0/51 votes,"Moti Bagh, South Delhi",Fast Food,1 votes,₹ 500 for two (approx.)
234,Nehru Place Social,4.4/5741 votes,"Epicuria Food Mall,Nehru Place, South Delhi","North Indian,  Continental,  American,  Chinese",741 votes,₹ 2000 for two (approx.)
235,Troy Lounge and Bar,3.8/5176 votes,"Punjabi Bagh, West Delhi","North Indian,  Multi-Cuisine,  Chinese,  Continental",176 votes,₹ 1500 for two (approx.)
236,The Race Lounge And Bar,3.8/5278 votes,"Rajouri Garden, West Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  Lebanese,  Oriental ",278 votes,₹ 1200 for two (approx.)
237,High Bae,4.2/559 votes,"Dhaula Kuan, West Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",59 votes,₹ 1600 for two (approx.)
238,Pipeline Cafe,4.2/5155 votes,"Satya Niketan, South Delhi","Fast Food,  Italian,  Chinese,  Continental",155 votes,₹ 800 for two (approx.)
239,Talli Station,5.0/54 votes,"Naraina, West Delhi","North Indian,  Chinese,  Fast Food",4 votes,₹ 1500 for two (approx.)
240,Brickyard Cafe And Lounge,4.4/518 votes,"Satya Niketan, South Delhi","Fast Food,  North Indian,  Chinese",18 votes,₹ 700 for two (approx.)
241,The Construction Co. Cafe,3.9/5142 votes,"Satya Niketan, South Delhi","Fast Food,  Italian,  Chinese",142 votes,₹ 800 for two (approx.)
242,7 Old Town,4.2/595 votes,"Hauz Khas, South Delhi","Italian,  Asian,  North Indian",95 votes,₹ 1700 for two (approx.)
243,The Clay Oven,4.4/5391 votes,"Hotel Park Residency,Green Park, South Delhi","North Indian,  Chinese,  Mughlai",391 votes,₹ 800 for two (approx.)
244,Greetoz Cafe,4.0/543 votes,"Hudson Lane, North Delhi","North Indian,  Chinese",43 votes,₹ 700 for two (approx.)
245,No. 1 Uncles Parantha,4.0/52 votes,"South Extension - 1, South Delhi","North Indian,  Fast Food",2 votes,₹ 400 for two (approx.)
246,Two Pots Kitchen,4.9/517 votes,"Janakpuri, West Delhi","Italian,  Chinese,  Continental,  Lebanese,  Desserts",17 votes,₹ 600 for two (approx.)
247,The China Kitchen,4.5/555 votes,"Hyatt Regency Delhi,Bhikaji Cama Place, South Delhi","Chinese,  Seafood",55 votes,₹ 4500 for two (approx.)
248,Madrina,4.2/5370 votes,"Ashok Vihar Phase - 2, North Delhi","North Indian,  Italian,  Chinese",370 votes,₹ 2200 for two (approx.)
249,Taxi - World Food Cafe,4.4/5312 votes,"Vijay Nagar, North Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",312 votes,₹ 1200 for two (approx.)
250,Pind Balluchi,4.1/5193 votes,"Lajpat Nagar - 2, South Delhi","North Indian,  Mughlai",193 votes,₹ 1800 for two (approx.)
251,Fabcafe by Fabindia,4.4/569 votes,"Lajpat Nagar - 3, South Delhi","Health Food,  Modern Indian,  North Indian,  Continental",69 votes,₹ 1200 for two (approx.)
252,Kabila Cafe,3.7/567 votes,"Satya Niketan, South Delhi","Fast Food,  North Indian,  Italian,  Chinese,  Shakes",67 votes,₹ 1000 for two (approx.)
253,Summer House Cafe,4.2/5750 votes,"DDA Shopping Complex,Hauz Khas, South Delhi","Italian,  Mediterranean,  Finger Food",750 votes,₹ 2300 for two (approx.)
254,Full Stop,5.0/52 votes,"Vijay Nagar, North Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",2 votes,₹ 1200 for two (approx.)
255,Imly,4.1/52243 votes,"Rajouri Garden, West Delhi","Street Food,  North Indian,  Chinese,  South Indian,  Fast Food",2243 votes,₹ 800 for two (approx.)
256,Mic Drop Bar and Restaurant,4.0/5408 votes,"South Extension - 2, South Delhi",North Indian,408 votes,₹ 1000 for two (approx.)
257,TK's Oriental Grill,4.5/536 votes,"Hyatt Regency Delhi,Bhikaji Cama Place, South Delhi","Thai,  Japanese,  Oriental ,  Indonesian,  Asian,  Sushi",36 votes,₹ 4000 for two (approx.)
258,Young Wild Free Cafe,4.0/533 votes,"Satya Niketan, South Delhi","Fast Food,  Italian,  Biryani",33 votes,₹ 800 for two (approx.)
259,Gola Sizzlers,4.0/5359 votes,"B.K Dutta Market,Rajouri Garden, West Delhi","Sizzlers,  North Indian,  Chinese",359 votes,₹ 1200 for two (approx.)
260,Wow! Momo,4.5/56 votes,"Palate of Delhi,Dhaula Kuan, West Delhi","Fast Food,  Tibetan",6 votes,₹ 400 for two (approx.)
261,Rustic Cafe,3.9/530 votes,"Satya Niketan, South Delhi","Fast Food,  Italian,  Chinese,  Continental",30 votes,₹ 800 for two (approx.)
262,The Branch Kitchen & Bar,4.0/542 votes,"South Extension - 2, South Delhi","Multi-Cuisine,  Italian,  Continental,  American",42 votes,₹ 2200 for two (approx.)
263,Seasonings - The Spice Mysteries,4.1/5945 votes,"Ashok Vihar Phase - 2, North Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mughlai",945 votes,₹ 1600 for two (approx.)
264,Kofuku,4.5/5116 votes,"Ansal Plaza Mall,Khel Gaon, South Delhi","Japanese,  Asian",116 votes,₹ 1800 for two (approx.)
265,Infinity Lounge Dine and Bar,4.1/5205 votes,"Punjabi Bagh, West Delhi","North Indian,  Chinese,  Continental,  Multi-Cuisine,  Italian,  South Indian",205 votes,₹ 1500 for two (approx.)
266,Bhalla King,5.0/51 votes,"Lajpat Nagar - 2, South Delhi","Street Food,  Fast Food",1 votes,₹ 300 for two (approx.)
267,The Piano Man Jazz Club,4.4/5323 votes,"Safdarjung Enclave Market,Safdarjung, South Delhi","European,  Asian,  Italian",323 votes,₹ 2500 for two (approx.)
268,The Big House Cafe,3.6/576 votes,"Satya Niketan, South Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",76 votes,₹ 700 for two (approx.)
269,Fio Cookhouse and Bar,4.4/5464 votes,"Epicuria Food Mall,Nehru Place, South Delhi","Continental,  North Indian,  Italian",464 votes,₹ 4000 for two (approx.)
270,Annakoot by ISKCON Bangalore,3.6/544 votes,"Preet Vihar, East Delhi","South Indian,  Street Food,  Mithai",44 votes,₹ 500 for two (approx.)
271,The Chai Story,4.3/531 votes,"Naraina, West Delhi","Fast Food,  Tea",31 votes,₹ 400 for two (approx.)
272,Ziu,4.4/5232 votes,"Sangam Courtyard,RK Puram, South Delhi",Thai,232 votes,₹ 1500 for two (approx.)
273,Meraki Cafe & Bar,4.0/5176 votes,"DDA Complex,Defence Colony, South Delhi","North Indian,  Chinese,  Italian,  Continental",176 votes,₹ 1600 for two (approx.)
274,Plum By Bent Chair,4.3/5947 votes,"Worldmark 2,Aerocity, South Delhi","Asian,  Continental,  Japanese,  Pizza,  Sushi",947 votes,₹ 3000 for two (approx.)
275,TBK Kulcha's,4.5/54 votes,"Janakpuri, West Delhi","Street Food,  Fast Food",4 votes,₹ 500 for two (approx.)
276,Da Safe Zone,3.6/58 votes,"Satya Niketan, South Delhi","North Indian,  Italian,  Chinese,  Fast Food",8 votes,₹ 1000 for two (approx.)
277,The Chai Story,3.0/514 votes,"DLF South Square Mall,Sarojini Nagar, South Delhi","Fast Food,  Tea",14 votes,₹ 400 for two (approx.)
278,Te Amo,4.3/586 votes,"Ansal Plaza Mall,Khel Gaon, South Delhi","Multi-Cuisine,  Continental,  Mexican,  European,  South American",86 votes,₹ 2200 for two (approx.)
279,Only Bar,4.1/519 votes,"Bhikaji Cama Place, South Delhi","North Indian,  Chinese",19 votes,₹ 1000 for two (approx.)
280,Amar Jyoti,3.1/58 votes,"Sarojini Nagar, South Delhi",North Indian,8 votes,₹ 1000 for two (approx.)
281,Seoul Restaurant,4.8/59 votes,"Ansal Plaza Mall,Khel Gaon, South Delhi","Japanese,  Korean",9 votes,₹ 2000 for two (approx.)
282,Frozen Bottle,3.0/52 votes,"Defence Colony, South Delhi","Shakes,  Desserts,  Ice Cream",2 votes,₹ 300 for two (approx.)
283,Boombox Cafe,4.1/52399 votes,"Rajouri Garden, West Delhi","Arabian,  North Indian,  Continental,  Mexican,  Oriental ",2399 votes,₹ 2500 for two (approx.)
284,For God's Cake,4.5/5175 votes,"Hudson Lane, North Delhi","Desserts,  Bakery and Confectionary",175 votes,₹ 500 for two (approx.)
285,Cafe Platonic,3.9/520 votes,"Satya Niketan, South Delhi","North Indian,  Chinese,  Continental,  South Indian",20 votes,₹ 1000 for two (approx.)
286,Chili's American Grill and Bar,4.3/5724 votes,"DLF Avenue,Saket, South Delhi","Mexican,  American,  Italian",724 votes,₹ 2000 for two (approx.)
287,IKK Panjab,4.3/5619 votes,"B.K Dutta Market,Rajouri Garden, West Delhi",North Indian,619 votes,₹ 1800 for two (approx.)
288,Raftaar - The High Speed Bar and Lounge,4.2/51229 votes,"Punjabi Bagh, West Delhi","Continental,  North Indian,  Italian",1229 votes,₹ 1600 for two (approx.)
289,Stupid Bar & Kitchen,3.9/520 votes,"Lajpat Nagar - 2, South Delhi","North Indian,  Chinese,  Seafood",20 votes,₹ 1000 for two (approx.)
290,Turn Up,3.1/59 votes,"Satya Niketan, South Delhi","Fast Food,  North Indian,  Chinese",9 votes,₹ 1200 for two (approx.)
291,Ada'e Haandi's,5.0/51 votes,"RK Puram, South Delhi","North Indian,  Mughlai,  Chinese",1 votes,₹ 800 for two (approx.)
292,Moh Maya Cafe,3.8/5399 votes,"Hudson Lane, North Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental,  Mexican",399 votes,₹ 1500 for two (approx.)
293,Cafe Tesu,4.4/5165 votes,"Essex Farms,Aurobindo Marg, South Delhi","Multi-Cuisine,  North Indian,  Italian,  Continental,  Japanese,  Deli",165 votes,₹ 2500 for two (approx.)
294,Spice Court,4.1/541 votes,"PVR Payal,Naraina, West Delhi","North Indian,  Chinese",41 votes,₹ 1500 for two (approx.)
295,Waffle Street,4.1/57 votes,"Janakpuri, West Delhi","Desserts,  Shakes,  Waffle,  Fast Food",7 votes,₹ 400 for two (approx.)
296,Dramz,4.1/5816 votes,"Mehrauli, South Delhi","Multi-Cuisine,  North Indian,  Continental,  European,  Oriental ",816 votes,₹ 2400 for two (approx.)
297,Sidewalk,4.5/523 votes,"Hyatt Regency Delhi,Bhikaji Cama Place, South Delhi",Bakery and Confectionary,23 votes,₹ 1000 for two (approx.)
298,Cafe,4.2/577 votes,"Hyatt Regency Delhi,Bhikaji Cama Place, South Delhi","North Indian,  Multi-Cuisine,  Indian Cuisine,  European",77 votes,₹ 4000 for two (approx.)
299,Veg Gulati,4.4/5207 votes,"Green Park, South Delhi","North Indian,  Biryani,  Indian Cuisine",207 votes,₹ 1200 for two (approx.)
300,Cafe After Hours,4.2/5257 votes,"Paschim Vihar, West Delhi","North Indian,  Chinese,  Continental",257 votes,₹ 1200 for two (approx.)
301,Pirates Of Grill,4.4/5275 votes,"Ambience Mall,Vasant Kunj, South Delhi","North Indian,  Continental,  Mughlai",275 votes,₹ 2000 for two (approx.)
302,Chili's American Grill and Bar,4.4/51789 votes,"DLF Mall of India,Sector 18, Noida","Mexican,  American,  Italian",1789 votes,₹ 2000 for two (approx.)
303,Oh Boy Lounge,3.3/588 votes,"Hudson Lane, North Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Continental",88 votes,₹ 1600 for two (approx.)
304,Lord of the Drinks Forum,4.2/5919 votes,"Epicuria Food Mall,Nehru Place, South Delhi","Multi-Cuisine,  North Indian,  Continental,  Oriental ",919 votes,₹ 2000 for two (approx.)
305,Syrah,3.8/58 votes,"Hyatt Regency Delhi,Bhikaji Cama Place, South Delhi","Mediterranean,  Middle Eastern",8 votes,₹ 4500 for two (approx.)
306,Wow! Momo,3.6/540 votes,"Unity One Mall,Janakpuri, West Delhi","Fast Food,  Tibetan",40 votes,₹ 400 for two (approx.)
307,Raasta,4.4/5223 votes,"Green Park, South Delhi","Finger Food,  Italian,  Chinese,  Continental,  Mediterranean",223 votes,₹ 2000 for two (approx.)
308,Theos,4.4/520 votes,"Sangam Courtyard,RK Puram, South Delhi","Desserts,  Bakery and Confectionary,  Fast Food",20 votes,₹ 900 for two (approx.)
309,Jazbaa Lounge and Bar,4.1/52696 votes,"Rajouri Garden, West Delhi","Multi-Cuisine,  North Indian,  Italian,  Chinese,  Asian,  Mughlai",2696 votes,₹ 1600 for two (approx.)
